FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
AGEL,0,0,0,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEL,1,1,0,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEL,2,2,12,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEL,3,3,15,1,40,2,2,0,,0,,0,C,N,N,,,,,
AGEL,**OTHER**,**OTHER**,-1,1,40,2,2,0,,0,,0,C,N,N,O,,,,
AGEU,0,0,0,1,40,3,3,0,,0,,0,C,N,N,,,,,
AGEU,1,1,17,1,40,3,3,0,,0,,0,C,N,N,,,,,
AGEU,2,2,55,1,40,3,3,0,,0,,0,C,N,N,,,,,
AGEU,3,3,999,1,40,3,3,0,,0,,0,C,N,N,,,,,
AGEU,**OTHER**,**OTHER**,-1,1,40,3,3,0,,0,,0,C,N,N,O,,,,
AGE_EDITS,0,0,0 newborn (age 0),1,40,23,23,0,,0,,0,C,N,N,,,,,
AGE_EDITS,1,1,1 pediatric (age 0 -17),1,40,23,23,0,,0,,0,C,N,N,,,,,
AGE_EDITS,2,2,2 maternity (age 12-55),1,40,23,23,0,,0,,0,C,N,N,,,,,
AGE_EDITS,3,3,3 adult (age 14+),1,40,23,23,0,,0,,0,C,N,N,,,,,
AGE_EDITS,**OTHER**,**OTHER**,,1,40,23,23,0,,0,,0,C,N,N,O,,,,
FSEX,1,1,1 male,1,40,8,8,0,,0,,0,C,N,N,,,,,
FSEX,2,2,2 female,1,40,8,8,0,,0,,0,C,N,N,,,,,
FSEX,**OTHER**,**OTHER**,,1,40,8,8,0,,0,,0,C,N,N,O,,,,
I0AGEY16MCE,C9150,C9150,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,C9151,C9151,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,C9152,C9152,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,C9330,C9330,1,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,C9331,C9331,1,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,C9332,C9332,1,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,D807,D807,0,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,E71511,E71511,0,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,E8411,E8411,0,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,G112,G112,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,G1221,G1221,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,H3532,H3532,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I230,I230,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I231,I231,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I232,I232,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I233,I233,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I236,I236,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I237,I237,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I238,I238,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25110,I25110,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25111,I25111,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25118,I25118,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25119,I25119,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25700,I25700,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25701,I25701,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25708,I25708,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25709,I25709,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25710,I25710,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25711,I25711,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25718,I25718,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25719,I25719,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25720,I25720,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25721,I25721,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25728,I25728,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25729,I25729,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25730,I25730,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25731,I25731,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25738,I25738,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25739,I25739,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25760,I25760,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25761,I25761,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25768,I25768,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25769,I25769,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25790,I25790,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25791,I25791,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25798,I25798,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I25799,I25799,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I700,I700,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I701,I701,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70201,I70201,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70202,I70202,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70203,I70203,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70208,I70208,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70209,I70209,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70211,I70211,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70212,I70212,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70213,I70213,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
