"Medicare Risk Adjustment Model CPT/HCPCS Filtering Included List, Calendar Year (CY) 2015",,
CPT only copyright 2015 American Medical Association.  All rights reserved.,,
HCPCS/CPT Code,2015 Short Description,In CY2015 Included List?
C5271,Low cost skin substitute app,yes
C5273,Low cost skin substitute app,yes
C5275,Low cost skin substitute app,yes
C5277,Low cost skin substitute app,yes
C9600,Perc drug-el cor stent sing,yes
C9602,Perc d-e cor stent ather s,yes
C9604,Perc d-e cor revasc t cabg s,yes
C9606,Perc d-e cor revasc w ami s,yes
C9607,Perc d-e cor revasc chro sin,yes
C9724,Eps stomach plic,yes
C9727,Insert palate implants,yes
C9734,"U/s trtmt, not leiomyomata",yes
C9739,Cystoscopy prostatic imp 1-3,yes
C9740,Cysto impl 4 or more,yes
C9741,Impl pressure sensor w/angio,yes
C9742,Laryngoscopy with injection,yes
C9743,Bulking/spacer material impl,yes
C9800,Dermal filler inj px/suppl,yes
G0129,Partial hosp prog service,yes
G0151,"Hhcp-serv of pt,ea 15 min",yes
G0152,"Hhcp-serv of ot,ea 15 min",yes
G0153,"Hhcp-svs of s/l path,ea 15mn",yes
G0155,"Hhcp-svs of csw,ea 15 min",yes
G0159,Hhc pt maint ea 15 min,yes
G0160,Hhc occup therapy ea 15,yes
G0161,Hhc slp ea 15 min,yes
G0186,"Dstry eye lesn,fdr vssl tech",yes
G0245,Initial foot exam pt lops,yes
G0246,Followup eval of foot pt lop,yes
G0248,Demonstrate use home inr mon,yes
G0249,Provide inr test mater/equip,yes
G0250,Md inr test revie inter mgmt,yes
G0257,Unsched dialysis esrd pt hos,yes
G0259,Inject for sacroiliac joint,yes
G0260,Inj for sacroiliac jt anesth,yes
G0268,Removal of impacted wax md,yes
G0276,Pild/placebo control clin tr,yes
G0339,"Robot lin-radsurg com, first",yes
G0340,Robt lin-radsurg fractx 2-5,yes
G0341,Percutaneous islet celltrans,yes
G0342,Laparoscopy islet cell trans,yes
G0343,Laparotomy islet cell transp,yes
G0372,Md service required for pmd,yes
G0378,Hospital observation per hr,yes
G0379,Direct refer hospital observ,yes
G0380,Lev 1 hosp type b ed visit,yes
G0381,Lev 2 hosp type b ed visit,yes
G0382,Lev 3 hosp type b ed visit,yes
G0383,Lev 4 hosp type b ed visit,yes
G0384,Lev 5 hosp type b ed visit,yes
G0396,Alcohol/subs interv 15-30mn,yes
G0397,Alcohol/subs interv >30 min,yes
G0402,Initial preventive exam,yes
G0406,Inpt/tele follow up 15,yes
G0407,Inpt/tele follow up 25,yes
G0408,Inpt/tele follow up 35,yes
G0409,Corf related serv 15 mins ea,yes
G0412,Open tx iliac spine uni/bil,yes
G0413,Pelvic ring fracture uni/bil,yes
G0414,Pelvic ring fx treat int fix,yes
G0415,Open tx post pelvic fxcture,yes
G0425,Inpt/ed teleconsult30,yes
G0426,Inpt/ed teleconsult50,yes
G0427,Inpt/ed teleconsult70,yes
G0429,Dermal filler injection(s),yes
G0438,"Ppps, initial visit",yes
G0439,"Ppps, subseq visit",yes
G0443,Brief alcohol misuse counsel,yes
G0447,Behavior counsel obesity 15m,yes
G0448,Place perm pacing cardiovert,yes
G0455,Fecal microbiota prep instil,yes
G0458,Ldr prostate brachy comp rat,yes
G0459,Telehealth inpt pharm mgmt,yes
G0460,Autologous prp for ulcers,yes
G0463,Hospital outpt clinic visit,yes
G0466,Fqhc visit new patient,yes
G0467,"Fqhc visit, estab pt",yes
G0468,"Fqhc visit, ippe or awv",yes
G0469,"Fqhc visit, mh new pt",yes
G0470,"Fqhc visit, mh estab pt",yes
G0473,Group behave couns 2-10,yes
G3001,"Admin + supply, tositumomab",yes
G6003,Radiation treatment delivery,yes
G6004,Radiation treatment delivery,yes
G6005,Radiation treatment delivery,yes
G6006,Radiation treatment delivery,yes
G6007,Radiation treatment delivery,yes
G6008,Radiation treatment delivery,yes
G6009,Radiation treatment delivery,yes
G6010,Radiation treatment delivery,yes
G6011,Radiation treatment delivery,yes
G6012,Radiation treatment delivery,yes
G6013,Radiation treatment delivery,yes
G6014,Radiation treatment delivery,yes
G6015,Radiation tx delivery imrt,yes
G6016,Delivery comp imrt,yes
G6018,Ileoscopy w/stent,yes
G6019,Colonoscopy lesion removal,yes
G6020,Colonoscopy w/stent,yes
G6021,Unlisted px small intestine,yes
G6022,Sigmoidoscopy w/ablate tumr,yes
G6023,Sigmoidoscopy w/stent,yes
G6024,Lesion removal colonoscopy,yes
G6025,Colonoscopy w/stent,yes
G6027,Anoscopy hra w/spec collect,yes
G6028,Anoscopy hra w/biopsy,yes
M0075,Cellular therapy,yes
M0076,Prolotherapy,yes
M0100,Intragastric hypothermia,yes
M0300,Iv chelationtherapy,yes
M0301,Fabric wrapping of aneurysm,yes
00100,Anesth salivary gland,yes
00102,Anesth repair of cleft lip,yes
00103,Anesth blepharoplasty,yes
00104,Anesth electroshock,yes
